,Kod,Isim,ForexBuying,ForexSelling,BanknoteBuying,BanknoteSelling,CrossRateUSD,CrossRateOther,Tarih
12925,KRW,GÜNEY KORE WONU,0.01281,0.01298,,,1297,,2022-07-01
12926,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.5253,4.5845,,,3.6731,,2022-07-01
12927,BGN,BULGAR LEVASI,8.8825,8.9988,,,1.8713,,2022-07-01
12928,AUD,AVUSTRALYA DOLARI,11.3454,11.4193,11.2932,11.4879,1.4699,,2022-07-01
12929,USD,ABD DOLARI,16.7935,16.8237,16.7817,16.8490,,,2022-07-04
12930,SAR,SUUDİ ARABİSTAN RİYALİ,4.4747,4.4828,4.4412,4.5164,3.7529,,2022-07-04
12931,AUD,AVUSTRALYA DOLARI,11.5041,11.5791,11.4512,11.6486,1.4563,,2022-07-04
12932,DKK,DANİMARKA KRONU,2.3531,2.3647,2.3515,2.3701,7.1256,,2022-07-04
12933,EUR,EURO,17.5322,17.5638,17.5200,17.5902,,1.0440,2022-07-04
12934,GBP,İNGİLİZ STERLİNİ,20.3311,20.4371,20.3168,20.4677,,1.2127,2022-07-04
12935,CHF,İSVİÇRE FRANGI,17.4599,17.5720,17.4337,17.5984,0.9596,,2022-07-04
12936,SEK,İSVEÇ KRONU,1.6224,1.6392,1.6212,1.6429,10.31,,2022-07-04
12937,CAD,KANADA DOLARI,13.0427,13.1016,12.9945,13.1513,1.2858,,2022-07-04
12938,KWD,KUVEYT DİNARI,54.4266,55.1388,53.6102,55.9658,,3.2592,2022-07-04
12939,NOK,NORVEÇ KRONU,1.6941,1.7055,1.6929,1.7094,9.8888,,2022-07-04
12940,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.5464,4.6059,,,3.6731,,2022-07-04
12941,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.3615,,,,,1.33036,2022-07-04
12942,BGN,BULGAR LEVASI,8.9135,9.0301,,,1.8735,,2022-07-04
12943,RON,RUMEN LEYİ,3.5253,3.5715,,,4.7369,,2022-07-04
12944,RUB,RUS RUBLESİ,0.30441,0.30839,,,54.86,,2022-07-04
12945,IRR,İRAN RİYALİ,0.03976,0.04028,,,42000,,2022-07-04
12946,CNY,ÇİN YUANI,2.4949,2.5276,,,6.6934,,2022-07-04
12947,PKR,PAKİSTAN RUPİSİ,0.08172,0.08279,,,204.35,,2022-07-04
12948,QAR,KATAR RİYALİ,4.5683,4.6281,,,3.6555,,2022-07-04
12949,KRW,GÜNEY KORE WONU,0.01288,0.01305,,,1297,,2022-07-04
12950,AZN,AZERBAYCAN YENİ MANATI,9.8289,9.9575,,,1.6990,,2022-07-04
12951,JPY,JAPON YENİ,12.3734,12.4553,12.3276,12.5026,135.40,,2022-07-04
12952,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.4624,,,,,1.32505,2022-07-05
12953,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.5852,4.6452,,,3.6731,,2022-07-05
12954,KRW,GÜNEY KORE WONU,0.01287,0.01304,,,1308,,2022-07-05
12955,PKR,PAKİSTAN RUPİSİ,0.08168,0.08275,,,206.19,,2022-07-05
12956,CNY,ÇİN YUANI,2.5131,2.5460,,,6.7016,,2022-07-05
12957,IRR,İRAN RİYALİ,0.04010,0.04062,,,42000,,2022-07-05
12958,RUB,RUS RUBLESİ,0.28959,0.29338,,,58.16,,2022-07-05
12959,RON,RUMEN LEYİ,3.5201,3.5662,,,4.7845,,2022-07-05
12960,BGN,BULGAR LEVASI,8.8990,9.0154,,,1.8926,,2022-07-05
12961,JPY,JAPON YENİ,12.4238,12.5061,12.3779,12.5536,136.00,,2022-07-05
12962,SAR,SUUDİ ARABİSTAN RİYALİ,4.5125,4.5206,4.4786,4.5545,3.7533,,2022-07-05
12963,NOK,NORVEÇ KRONU,1.6990,1.7104,1.6978,1.7143,9.9446,,2022-07-05
12964,AZN,AZERBAYCAN YENİ MANATI,9.9129,10.0426,,,1.6990,,2022-07-05
12965,KWD,KUVEYT DİNARI,54.8407,55.5583,54.0181,56.3917,,3.2562,2022-07-05
12966,CAD,KANADA DOLARI,13.1008,13.1599,13.0523,13.2099,1.2911,,2022-07-05
12967,SEK,İSVEÇ KRONU,1.6158,1.6326,1.6147,1.6363,10.44,,2022-07-05
12968,CHF,İSVİÇRE FRANGI,17.5392,17.6519,17.5129,17.6783,0.9634,,2022-07-05
12969,GBP,İNGİLİZ STERLİNİ,20.3737,20.4799,20.3594,20.5106,,1.2050,2022-07-05
12970,EUR,EURO,17.5036,17.5351,17.4913,17.5614,,1.0335,2022-07-05
12971,DKK,DANİMARKA KRONU,2.3491,2.3607,2.3475,2.3661,7.1986,,2022-07-05
12972,AUD,AVUSTRALYA DOLARI,11.5032,11.5782,11.4503,11.6477,1.4689,,2022-07-05
12973,USD,ABD DOLARI,16.9369,16.9674,16.9250,16.9928,,,2022-07-05
12974,QAR,KATAR RİYALİ,4.6109,4.6712,,,3.6527,,2022-07-05
12975,USD,ABD DOLARI,17.1818,17.2128,17.1698,17.2386,,,2022-07-06
12976,SAR,SUUDİ ARABİSTAN RİYALİ,4.5769,4.5852,4.5426,4.6196,3.7540,,2022-07-06
12977,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.6515,4.7124,,,3.6731,,2022-07-06
12978,KRW,GÜNEY KORE WONU,0.01308,0.01325,,,1307,,2022-07-06
12979,QAR,KATAR RİYALİ,4.6758,4.7370,,,3.6540,,2022-07-06
12980,PKR,PAKİSTAN RUPİSİ,0.08229,0.08337,,,207.63,,2022-07-06
12981,CNY,ÇİN YUANI,2.5479,2.5812,,,6.7058,,2022-07-06
12982,IRR,İRAN RİYALİ,0.04068,0.04121,,,42000,,2022-07-06
12983,RUB,RUS RUBLESİ,0.26532,0.26879,,,64.40,,2022-07-06
12984,RON,RUMEN LEYİ,3.5347,3.5809,,,4.8337,,2022-07-06
12985,BGN,BULGAR LEVASI,8.9369,9.0539,,,1.9118,,2022-07-06
12986,JPY,JAPON YENİ,12.6654,12.7493,12.6186,12.7978,135.33,,2022-07-06
12987,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.7078,,,,,1.32043,2022-07-06
12988,NOK,NORVEÇ KRONU,1.7021,1.7135,1.7009,1.7175,10.07,,2022-07-06
12989,KWD,KUVEYT DİNARI,55.5967,56.3242,54.7628,57.1691,,3.2540,2022-07-06
12990,CAD,KANADA DOLARI,13.1649,13.2243,13.1162,13.2746,1.3034,,2022-07-06
12991,SEK,İSVEÇ KRONU,1.6270,1.6439,1.6259,1.6476,10.52,,2022-07-06
12992,CHF,İSVİÇRE FRANGI,17.6766,17.7900,17.6500,17.8167,0.9698,,2022-07-06
12993,GBP,İNGİLİZ STERLİNİ,20.4812,20.5880,20.4669,20.6189,,1.1941,2022-07-06
12994,EUR,EURO,17.5783,17.6100,17.5660,17.6364,,1.0231,2022-07-06
12995,DKK,DANİMARKA KRONU,2.3587,2.3703,2.3570,2.3757,7.2732,,2022-07-06
12996,AUD,AVUSTRALYA DOLARI,11.6607,11.7368,11.6071,11.8072,1.4700,,2022-07-06
12997,AZN,AZERBAYCAN YENİ MANATI,10.0562,10.1878,,,1.6990,,2022-07-06
12998,USD,ABD DOLARI,17.2601,17.2912,17.2480,17.3171,,,2022-07-07
12999,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.6728,4.7339,,,3.6731,,2022-07-07
13000,AZN,AZERBAYCAN YENİ MANATI,10.1020,10.2342,,,1.6990,,2022-07-07
13001,AUD,AVUSTRALYA DOLARI,11.7580,11.8347,11.7039,11.9057,1.4645,,2022-07-07
13002,DKK,DANİMARKA KRONU,2.3616,2.3732,2.3599,2.3786,7.2974,,2022-07-07
13003,EUR,EURO,17.5988,17.6305,17.5865,17.6569,,1.0196,2022-07-07
13004,GBP,İNGİLİZ STERLİNİ,20.6267,20.7343,20.6123,20.7654,,1.1971,2022-07-07
13005,CHF,İSVİÇRE FRANGI,17.7217,17.8355,17.6951,17.8622,0.9717,,2022-07-07
13006,SEK,İSVEÇ KRONU,1.6332,1.6501,1.6321,1.6539,10.52,,2022-07-07
13007,CAD,KANADA DOLARI,13.2571,13.3169,13.2080,13.3675,1.3002,,2022-07-07
13008,KWD,KUVEYT DİNARI,55.8184,56.5488,54.9811,57.3970,,3.2522,2022-07-07
13009,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.7861,,,,,1.31897,2022-07-07
13010,NOK,NORVEÇ KRONU,1.7051,1.7166,1.7039,1.7205,10.10,,2022-07-07
13011,BGN,BULGAR LEVASI,8.9471,9.0642,,,1.9183,,2022-07-07
13012,RON,RUMEN LEYİ,3.5386,3.5849,,,4.8504,,2022-07-07
13013,RUB,RUS RUBLESİ,0.27215,0.27571,,,63.07,,2022-07-07
13014,IRR,İRAN RİYALİ,0.04087,0.04140,,,42000,,2022-07-07
13015,CNY,ÇİN YUANI,2.5598,2.5933,,,6.7049,,2022-07-07
13016,PKR,PAKİSTAN RUPİSİ,0.08269,0.08378,,,207.55,,2022-07-07
13017,QAR,KATAR RİYALİ,4.6963,4.7577,,,3.6547,,2022-07-07
13018,KRW,GÜNEY KORE WONU,0.01320,0.01337,,,1301,,2022-07-07
13019,JPY,JAPON YENİ,12.6652,12.7491,12.6184,12.7975,135.95,,2022-07-07
13020,SAR,SUUDİ ARABİSTAN RİYALİ,4.5978,4.6061,4.5633,4.6406,3.7540,,2022-07-07
13021,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.8285,,,,,1.31146,2022-07-13
13022,AZN,AZERBAYCAN YENİ MANATI,10.1788,10.3120,,,1.6990,,2022-07-13
13023,DKK,DANİMARKA KRONU,2.3440,2.3555,2.3423,2.3609,7.4081,,2022-07-13
13024,EUR,EURO,17.4693,17.5007,17.4570,17.5270,,1.0045,2022-07-13
13025,GBP,İNGİLİZ STERLİNİ,20.6760,20.7838,20.6616,20.8150,,1.1909,2022-07-13
13026,CHF,İSVİÇRE FRANGI,17.7313,17.8451,17.7047,17.8719,0.9786,,2022-07-13
13027,SEK,İSVEÇ KRONU,1.6386,1.6555,1.6374,1.6593,10.57,,2022-07-13
13028,CAD,KANADA DOLARI,13.3502,13.4105,13.3009,13.4614,1.3009,,2022-07-13
13029,KWD,KUVEYT DİNARI,56.1560,56.8908,55.3137,57.7442,,3.2472,2022-07-13
13030,NOK,NORVEÇ KRONU,1.6978,1.7092,1.6966,1.7132,10.22,,2022-07-13
13031,AUD,AVUSTRALYA DOLARI,11.7634,11.8401,11.7093,11.9112,1.4749,,2022-07-13
13032,SAR,SUUDİ ARABİSTAN RİYALİ,4.6336,4.6419,4.5988,4.6768,3.7533,,2022-07-13
13033,BGN,BULGAR LEVASI,8.8817,8.9979,,,1.9471,,2022-07-13
13034,RON,RUMEN LEYİ,3.5151,3.5611,,,4.9198,,2022-07-13
13035,RUB,RUS RUBLESİ,0.29507,0.29894,,,58.61,,2022-07-13
13036,IRR,İRAN RİYALİ,0.04118,0.04171,,,42000,,2022-07-13
13037,CNY,ÇİN YUANI,2.5725,2.6062,,,6.7225,,2022-07-13
13038,PKR,PAKİSTAN RUPİSİ,0.08239,0.08347,,,209.90,,2022-07-13
13039,QAR,KATAR RİYALİ,4.7152,4.7769,,,3.6677,,2022-07-13
13040,KRW,GÜNEY KORE WONU,0.01326,0.01343,,,1304,,2022-07-13
13041,JPY,JAPON YENİ,12.6553,12.7391,12.6085,12.7875,137.09,,2022-07-13
13042,USD,ABD DOLARI,17.3913,17.4226,17.3791,17.4487,,,2022-07-13
13043,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7083,4.7699,,,3.6731,,2022-07-13
13044,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7264,4.7882,,,3.6731,,2022-07-14
13045,KRW,GÜNEY KORE WONU,0.01319,0.01336,,,1316,,2022-07-14
13046,QAR,KATAR RİYALİ,4.7303,4.7922,,,3.6701,,2022-07-14
13047,PKR,PAKİSTAN RUPİSİ,0.08285,0.08394,,,209.53,,2022-07-14
13048,CNY,ÇİN YUANI,2.5743,2.6080,,,6.7437,,2022-07-14
13049,IRR,İRAN RİYALİ,0.04133,0.04187,,,42000,,2022-07-14
13050,RUB,RUS RUBLESİ,0.29799,0.30189,,,58.26,,2022-07-14
13051,RON,RUMEN LEYİ,3.5207,3.5668,,,4.9309,,2022-07-14
13052,BGN,BULGAR LEVASI,8.8957,9.0122,,,1.9515,,2022-07-14
13053,JPY,JAPON YENİ,12.5335,12.6165,12.4871,12.6644,138.96,,2022-07-14
13054,SAR,SUUDİ ARABİSTAN RİYALİ,4.6505,4.6589,4.6157,4.6939,3.7540,,2022-07-14
13055,NOK,NORVEÇ KRONU,1.7027,1.7142,1.7015,1.7181,10.23,,2022-07-14
13056,KWD,KUVEYT DİNARI,56.3274,57.0644,55.4824,57.9204,,3.2446,2022-07-14
13057,CAD,KANADA DOLARI,13.3360,13.3962,13.2867,13.4471,1.3073,,2022-07-14
13058,SEK,İSVEÇ KRONU,1.6414,1.6584,1.6403,1.6622,10.59,,2022-07-14
13059,CHF,İSVİÇRE FRANGI,17.7043,17.8180,17.6778,17.8447,0.9838,,2022-07-14
13060,GBP,İNGİLİZ STERLİNİ,20.6437,20.7513,20.6292,20.7824,,1.1845,2022-07-14
13061,EUR,EURO,17.4977,17.5292,17.4855,17.5555,,1.0023,2022-07-14
13062,DKK,DANİMARKA KRONU,2.3474,2.3590,2.3458,2.3644,7.4256,,2022-07-14
13063,AUD,AVUSTRALYA DOLARI,11.7408,11.8174,11.6868,11.8883,1.4835,,2022-07-14
13064,USD,ABD DOLARI,17.4581,17.4896,17.4459,17.5158,,,2022-07-14
13065,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.8630,,,,,1.30841,2022-07-14
13066,AZN,AZERBAYCAN YENİ MANATI,10.2179,10.3516,,,1.6990,,2022-07-14
13067,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,22.9761,,,,,1.31448,2022-07-18
13068,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7279,4.7897,,,3.6730,,2022-07-18
13069,KRW,GÜNEY KORE WONU,0.01320,0.01338,,,1315,,2022-07-18
13070,USD,ABD DOLARI,17.4635,17.4950,17.4513,17.5212,,,2022-07-18
13071,AUD,AVUSTRALYA DOLARI,11.8989,11.9765,11.8442,12.0484,1.4642,,2022-07-18
13072,DKK,DANİMARKA KRONU,2.3754,2.3870,2.3737,2.3925,7.3405,,2022-07-18
13073,EUR,EURO,17.7083,17.7402,17.6959,17.7668,,1.0140,2022-07-18
13074,GBP,İNGİLİZ STERLİNİ,20.8428,20.9515,20.8282,20.9829,,1.1955,2022-07-18
13075,CHF,İSVİÇRE FRANGI,17.8583,17.9730,17.8315,17.9999,0.9756,,2022-07-18
13076,SEK,İSVEÇ KRONU,1.6709,1.6882,1.6697,1.6921,10.41,,2022-07-18
13077,CAD,KANADA DOLARI,13.4381,13.4987,13.3884,13.5500,1.2978,,2022-07-18
13078,KWD,KUVEYT DİNARI,56.4243,57.1626,55.5779,58.0201,,3.2492,2022-07-18
13079,NOK,NORVEÇ KRONU,1.7204,1.7319,1.7192,1.7359,10.13,,2022-07-18
13080,JPY,JAPON YENİ,12.6068,12.6903,12.5602,12.7385,138.19,,2022-07-18
13081,BGN,BULGAR LEVASI,9.0038,9.1216,,,1.9287,,2022-07-18
13082,RON,RUMEN LEYİ,3.5649,3.6116,,,4.8712,,2022-07-18
13083,RUB,RUS RUBLESİ,0.30677,0.31078,,,56.61,,2022-07-18
13084,IRR,İRAN RİYALİ,0.04135,0.04189,,,42000,,2022-07-18
13085,CNY,ÇİN YUANI,2.5768,2.6105,,,6.7392,,2022-07-18
13086,PKR,PAKİSTAN RUPİSİ,0.08087,0.08193,,,214.74,,2022-07-18
13087,QAR,KATAR RİYALİ,4.7471,4.8092,,,3.6582,,2022-07-18
13088,AZN,AZERBAYCAN YENİ MANATI,10.2211,10.3548,,,1.6990,,2022-07-18
13089,SAR,SUUDİ ARABİSTAN RİYALİ,4.6501,4.6585,4.6152,4.6934,3.7555,,2022-07-18
13090,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,23.1579,,,,,1.31891,2022-07-19
13091,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7492,4.8114,,,3.6730,,2022-07-19
13092,AZN,AZERBAYCAN YENİ MANATI,10.2673,10.4017,,,1.6990,,2022-07-19
13093,AUD,AVUSTRALYA DOLARI,12.0522,12.1308,11.9968,12.2036,1.4521,,2022-07-19
13094,DKK,DANİMARKA KRONU,2.4081,2.4200,2.4064,2.4255,7.2734,,2022-07-19
13095,EUR,EURO,17.9559,17.9883,17.9434,18.0153,,1.0236,2022-07-19
13096,GBP,İNGİLİZ STERLİNİ,21.0342,21.1438,21.0194,21.1755,,1.2011,2022-07-19
13097,CHF,İSVİÇRE FRANGI,18.0434,18.1593,18.0164,18.1865,0.9700,,2022-07-19
13098,SEK,İSVEÇ KRONU,1.7006,1.7182,1.6994,1.7222,10.27,,2022-07-19
13099,CAD,KANADA DOLARI,13.5306,13.5917,13.4806,13.6433,1.2948,,2022-07-19
13100,KWD,KUVEYT DİNARI,56.7349,57.4773,55.8839,58.3394,,3.2524,2022-07-19
13101,NOK,NORVEÇ KRONU,1.7567,1.7685,1.7554,1.7725,9.9618,,2022-07-19
13102,KRW,GÜNEY KORE WONU,0.01332,0.01349,,,1310,,2022-07-19
13103,SAR,SUUDİ ARABİSTAN RİYALİ,4.6718,4.6802,4.6367,4.7153,3.7550,,2022-07-19
13104,JPY,JAPON YENİ,12.7139,12.7981,12.6669,12.8467,137.65,,2022-07-19
13105,BGN,BULGAR LEVASI,9.1285,9.2479,,,1.9110,,2022-07-19
13106,RON,RUMEN LEYİ,3.6147,3.6620,,,4.8259,,2022-07-19
13107,RUB,RUS RUBLESİ,0.31398,0.31809,,,55.56,,2022-07-19
13108,IRR,İRAN RİYALİ,0.04153,0.04208,,,42000,,2022-07-19
13109,CNY,ÇİN YUANI,2.5871,2.6210,,,6.7427,,2022-07-19
13110,PKR,PAKİSTAN RUPİSİ,0.07888,0.07991,,,221.15,,2022-07-19
13111,QAR,KATAR RİYALİ,4.7682,4.8306,,,3.6585,,2022-07-19
13112,USD,ABD DOLARI,17.5425,17.5741,17.5302,17.6005,,,2022-07-19
13113,USD,ABD DOLARI,17.5605,17.5922,17.5482,17.6186,,,2022-07-20
13114,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,23.1623,,,,,1.31781,2022-07-20
13115,AZN,AZERBAYCAN YENİ MANATI,10.2779,10.4124,,,1.6990,,2022-07-20
13116,AUD,AVUSTRALYA DOLARI,12.1053,12.1843,12.0497,12.2574,1.4472,,2022-07-20
13117,DKK,DANİMARKA KRONU,2.4082,2.4200,2.4065,2.4256,7.2808,,2022-07-20
13118,EUR,EURO,17.9549,17.9873,17.9423,18.0142,,1.0225,2022-07-20
13119,GBP,İNGİLİZ STERLİNİ,21.0309,21.1406,21.0162,21.1723,,1.1997,2022-07-20
13120,CHF,İSVİÇRE FRANGI,18.0721,18.1881,18.0449,18.2154,0.9695,,2022-07-20
13121,SEK,İSVEÇ KRONU,1.7081,1.7258,1.7069,1.7297,10.24,,2022-07-20
13122,CAD,KANADA DOLARI,13.6246,13.6861,13.5742,13.7381,1.2871,,2022-07-20
13123,KWD,KUVEYT DİNARI,56.7452,57.4877,55.8940,58.3500,,3.2496,2022-07-20
13124,NOK,NORVEÇ KRONU,1.7663,1.7781,1.7650,1.7822,9.9179,,2022-07-20
13125,SAR,SUUDİ ARABİSTAN RİYALİ,4.6742,4.6826,4.6391,4.7177,3.7569,,2022-07-20
13126,JPY,JAPON YENİ,12.6782,12.7622,12.6313,12.8107,138.18,,2022-07-20
13127,BGN,BULGAR LEVASI,9.1284,9.2478,,,1.9129,,2022-07-20
13128,RON,RUMEN LEYİ,3.6139,3.6612,,,4.8319,,2022-07-20
13129,RUB,RUS RUBLESİ,0.31718,0.32133,,,55.05,,2022-07-20
13130,IRR,İRAN RİYALİ,0.04158,0.04212,,,42000,,2022-07-20
13131,CNY,ÇİN YUANI,2.5860,2.6198,,,6.7526,,2022-07-20
13132,PKR,PAKİSTAN RUPİSİ,0.07752,0.07854,,,225.25,,2022-07-20
13133,QAR,KATAR RİYALİ,4.7858,4.8485,,,3.6487,,2022-07-20
13134,KRW,GÜNEY KORE WONU,0.01332,0.01349,,,1311,,2022-07-20
13135,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7541,4.8163,,,3.6731,,2022-07-20
13136,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,23.2117,,,,,1.31555,2022-07-21
13137,SAR,SUUDİ ARABİSTAN RİYALİ,4.6908,4.6993,4.6556,4.7345,3.7580,,2022-07-21
13138,AZN,AZERBAYCAN YENİ MANATI,10.3175,10.4525,,,1.6990,,2022-07-21
13139,USD,ABD DOLARI,17.6282,17.6599,17.6158,17.6864,,,2022-07-21
13140,AUD,AVUSTRALYA DOLARI,12.0912,12.1700,12.0355,12.2430,1.4545,,2022-07-21
13141,DKK,DANİMARKA KRONU,2.4098,2.4216,2.4081,2.4272,7.3039,,2022-07-21
13142,EUR,EURO,17.9660,17.9984,17.9535,18.0254,,1.0192,2022-07-21
13143,GBP,İNGİLİZ STERLİNİ,21.0285,21.1381,21.0138,21.1698,,1.1949,2022-07-21
13144,CHF,İSVİÇRE FRANGI,18.0829,18.1990,18.0558,18.2263,0.9726,,2022-07-21
13145,SEK,İSVEÇ KRONU,1.7153,1.7331,1.7141,1.7370,10.23,,2022-07-21
13146,CAD,KANADA DOLARI,13.6396,13.7012,13.5892,13.7532,1.2907,,2022-07-21
13147,KWD,KUVEYT DİNARI,56.9776,57.7232,56.1230,58.5890,,3.2504,2022-07-21
13148,NOK,NORVEÇ KRONU,1.7632,1.7751,1.7620,1.7791,9.9733,,2022-07-21
13149,JPY,JAPON YENİ,12.6876,12.7716,12.6406,12.8201,138.61,,2022-07-21
13150,BGN,BULGAR LEVASI,9.1351,9.2546,,,1.9189,,2022-07-21
13151,RON,RUMEN LEYİ,3.6168,3.6641,,,4.8467,,2022-07-21
13152,RUB,RUS RUBLESİ,0.31103,0.31510,,,56.36,,2022-07-21
13153,IRR,İRAN RİYALİ,0.04174,0.04228,,,42000,,2022-07-21
13154,CNY,ÇİN YUANI,2.5906,2.6245,,,6.7665,,2022-07-21
13155,PKR,PAKİSTAN RUPİSİ,0.07729,0.07830,,,226.81,,2022-07-21
13156,QAR,KATAR RİYALİ,4.7946,4.8574,,,3.6560,,2022-07-21
13157,KRW,GÜNEY KORE WONU,0.01338,0.01355,,,1311,,2022-07-21
13158,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7724,4.8348,,,3.6731,,2022-07-21
13159,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,23.3194,,,,,1.31548,2022-07-22
13160,SAR,SUUDİ ARABİSTAN RİYALİ,4.7131,4.7216,4.6777,4.7570,3.7578,,2022-07-22
13161,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.7949,4.8576,,,3.6730,,2022-07-22
13162,USD,ABD DOLARI,17.7110,17.7429,17.6986,17.7695,,,2022-07-22
13163,AUD,AVUSTRALYA DOLARI,12.2316,12.3114,12.1753,12.3852,1.4446,,2022-07-22
13164,DKK,DANİMARKA KRONU,2.4153,2.4271,2.4136,2.4327,7.3216,,2022-07-22
13165,EUR,EURO,18.0087,18.0412,17.9961,18.0682,,1.0168,2022-07-22
13166,GBP,İNGİLİZ STERLİNİ,21.1382,21.2484,21.1234,21.2803,,1.1955,2022-07-22
13167,CHF,İSVİÇRE FRANGI,18.2770,18.3944,18.2496,18.4220,0.9668,,2022-07-22
13168,SEK,İSVEÇ KRONU,1.7211,1.7389,1.7199,1.7429,10.25,,2022-07-22
13169,CAD,KANADA DOLARI,13.7424,13.8044,13.6916,13.8569,1.2870,,2022-07-22
13170,KWD,KUVEYT DİNARI,57.2622,58.0115,56.4032,58.8816,,3.2514,2022-07-22
13171,NOK,NORVEÇ KRONU,1.7694,1.7813,1.7681,1.7854,9.9852,,2022-07-22
13172,JPY,JAPON YENİ,12.8573,12.9424,12.8097,12.9916,137.42,,2022-07-22
13173,BGN,BULGAR LEVASI,9.1558,9.2756,,,1.9236,,2022-07-22
13174,RON,RUMEN LEYİ,3.6289,3.6764,,,4.8532,,2022-07-22
13175,RUB,RUS RUBLESİ,0.30595,0.30995,,,57.56,,2022-07-22
13176,IRR,İRAN RİYALİ,0.04193,0.04248,,,42000,,2022-07-22
13177,CNY,ÇİN YUANI,2.6035,2.6376,,,6.7646,,2022-07-22
13178,PKR,PAKİSTAN RUPİSİ,0.07717,0.07818,,,228.23,,2022-07-22
13179,QAR,KATAR RİYALİ,4.8174,4.8805,,,3.6559,,2022-07-22
13180,KRW,GÜNEY KORE WONU,0.01341,0.01359,,,1313,,2022-07-22
13181,AZN,AZERBAYCAN YENİ MANATI,10.3659,10.5016,,,1.6990,,2022-07-22
13182,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,23.5021,,,,,1.31907,2022-07-25
13183,USD,ABD DOLARI,17.8011,17.8331,17.7886,17.8599,,,2022-07-25
13184,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.8193,4.8823,,,3.6730,,2022-07-25
13185,DKK,DANİMARKA KRONU,2.4399,2.4519,2.4382,2.4575,7.2845,,2022-07-25
13186,EUR,EURO,18.1927,18.2255,18.1800,18.2528,,1.0220,2022-07-25
13187,GBP,İNGİLİZ STERLİNİ,21.3762,21.4876,21.3612,21.5198,,1.2029,2022-07-25
13188,CHF,İSVİÇRE FRANGI,18.4264,18.5447,18.3987,18.5725,0.9638,,2022-07-25
13189,SEK,İSVEÇ KRONU,1.7412,1.7592,1.7400,1.7633,10.18,,2022-07-25
13190,CAD,KANADA DOLARI,13.7891,13.8513,13.7381,13.9039,1.2892,,2022-07-25
13191,KWD,KUVEYT DİNARI,57.6298,58.3839,56.7654,59.2597,,3.2557,2022-07-25
13192,NOK,NORVEÇ KRONU,1.7957,1.8078,1.7945,1.8120,9.8887,,2022-07-25
13193,SAR,SUUDİ ARABİSTAN RİYALİ,4.7372,4.7458,4.7017,4.7814,3.7577,,2022-07-25
13194,AZN,AZERBAYCAN YENİ MANATI,10.4187,10.5550,,,1.6990,,2022-07-25
13195,JPY,JAPON YENİ,13.0164,13.1026,12.9683,13.1524,136.43,,2022-07-25
13196,BGN,BULGAR LEVASI,9.2498,9.3708,,,1.9137,,2022-07-25
13197,RON,RUMEN LEYİ,3.6677,3.7157,,,4.8263,,2022-07-25
13198,RUB,RUS RUBLESİ,0.30629,0.31030,,,57.79,,2022-07-25
13199,IRR,İRAN RİYALİ,0.04215,0.04270,,,42000,,2022-07-25
13200,CNY,ÇİN YUANI,2.6225,2.6568,,,6.7499,,2022-07-25
13201,PKR,PAKİSTAN RUPİSİ,0.07702,0.07803,,,229.81,,2022-07-25
13202,QAR,KATAR RİYALİ,4.8206,4.8837,,,3.6720,,2022-07-25
13203,KRW,GÜNEY KORE WONU,0.01350,0.01367,,,1311,,2022-07-25
13204,AUD,AVUSTRALYA DOLARI,12.3241,12.4045,12.2675,12.4789,1.4410,,2022-07-25
13205,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,23.5120,,,,,1.31723,2022-07-26
13206,USD,ABD DOLARI,17.8335,17.8656,17.8210,17.8924,,,2022-07-26
13207,AED,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,4.8280,4.8912,,,3.6731,,2022-07-26
