,Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
1043,24.01.2020,34577,33882,34670,33853,,"2,10%"
1044,23.01.2020,33866,33886,34127,33582,,"-0,45%"
1045,22.01.2020,34019,33919,34129,33763,,"0,32%"
1046,21.01.2020,33910,33880,34588,33637,,"-1,26%"
1047,20.01.2020,34344,34290,34418,34114,,"0,61%"
1048,17.01.2020,34135,33811,34361,33724,,"1,34%"
1049,16.01.2020,33685,33733,34102,33732,,"-0,95%"
1050,15.01.2020,34009,34031,34071,33604,,"1,04%"
1051,14.01.2020,33659,33609,33833,33426,,"-0,48%"
1052,13.01.2020,33822,33850,34168,33768,,"-1,16%"
1053,10.01.2020,34218,33863,34293,33727,,"1,41%"
1054,09.01.2020,33743,33723,34578,33608,,"-2,60%"
1055,08.01.2020,34643,34599,36159,34297,,"-2,52%"
1056,07.01.2020,35539,35256,35727,34454,,"2,28%"
1057,06.01.2020,34747,34826,35531,34615,,"0,27%"
1058,03.01.2020,34654,34548,35069,34511,,"0,59%"
1059,02.01.2020,34452,34464,34667,34139,,"0,72%"
1060,01.01.2020,34207,34102,34268,34180,,"0,01%"
