,Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
100,02.01.2024,BIS,BV PORTFÖY BİRİNCİ SERBEST FON,0.0,0.0,0,0.0
101,02.01.2024,BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,30.725363,"12,630,618.0",90,"388,080,322.7"
102,02.01.2024,BJO,AZİMUT PORTFÖY DELTA SERBEST ÖZEL FON,2.661697,"1,069,827,869.0",7,"2,847,557,127.98"
103,02.01.2024,BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,0.0,0.0,0,0.0
104,02.01.2024,BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,1.653544,"173,000,998.0",401,"286,064,801.34"
105,02.01.2024,BSE,A1 PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),1.330529,"378,606,724.0",72,"503,747,375.98"
106,02.01.2024,BST,A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),4.287172,"20,313,525.0",276,"87,087,572.08"
107,02.01.2024,BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,1.689671,"92,518,619.0",851,"156,326,017.86"
108,02.01.2024,BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.8632,"12,826,661.0",584,"11,071,975.26"
109,02.01.2024,BUP,AZİMUT PORTFÖY BUPA SERBEST (TL) ÖZEL FON,1.472749,"3,354,777,076.0",1,"4,940,743,821.49"
110,02.01.2024,BUT,AZİMUT PORTFÖY BULUT HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),1.18268,"812,361,718.0",5,"960,764,254.66"
111,02.01.2024,BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.18564,"1,319,225,640.0","63,071","1,564,127,323.13"
112,02.01.2024,BVB,AK PORTFÖY ÖPY YEDİNCİ SERBEST (TL) ÖZEL FON,1.465488,"1,075,003,028.0",1,"1,575,404,481.24"
113,02.01.2024,BVC,AK PORTFÖY BİRİNCİ SERBEST (TL) FON,1.414841,"1,621,342,207.0",1,"2,293,941,102.83"
