Fon Kodu	Tarih	Attribute	Value
ICS	2024-02-04	Kodu	ICS
ICS	2024-02-04	Max. Alış İşlem Miktarı	10.000.000
ICS	2024-02-04	ISIN Kodu	TRYICBC00018
ICS	2024-02-04	Fon Satış Valörü	3.0
ICS	2024-02-04	Giriş Komisyonu	
ICS	2024-02-04	Son İşlem Saati	17:45
ICV	2024-02-04	Fon Alış Valörü	1.0
ICV	2024-02-04	Giriş Komisyonu	
ICV	2024-02-04	ISIN Kodu	TRYICBC00026
ICV	2024-02-04	Min. Satış İşlem Miktarı	1
ICV	2024-02-04	Fonun Faiz İçeriği	
ICV	2024-02-04	Çıkış Komisyonu	
ICV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ICV	2024-02-04	Fonun Risk Değeri	2
ICV	2024-02-04	Fon Satış Valörü	2.0
ICV	2024-02-04	Son İşlem Saati	17:00
ICV	2024-02-04	Min. Alış İşlem Miktarı	1
ICV	2024-02-04	Max. Alış İşlem Miktarı	10.000.000
ICV	2024-02-04	İşlem Başlangıç Saati	09:00
ICV	2024-02-04	Kodu	ICV
ICV	2024-02-04	Max. Satış İşlem Miktarı	10.000.000
ICZ	2024-02-04	Min. Alış İşlem Miktarı	1
ICZ	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
ICZ	2024-02-04	İşlem Başlangıç Saati	09:00
ICZ	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ICZ	2024-02-04	Min. Satış İşlem Miktarı	1
ICZ	2024-02-04	Fonun Faiz İçeriği	
ICZ	2024-02-04	ISIN Kodu	TRYAKPO00880
ICZ	2024-02-04	Fon Satış Valörü	2.0
ICZ	2024-02-04	Son İşlem Saati	17:45
ICZ	2024-02-04	Çıkış Komisyonu	
ICZ	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
ICZ	2024-02-04	Kodu	ICZ
ICZ	2024-02-04	Giriş Komisyonu	
ICZ	2024-02-04	Fonun Risk Değeri	7
ICZ	2024-02-04	Fon Alış Valörü	1.0
IDD	2024-02-04	Max. Alış İşlem Miktarı	
IDD	2024-02-04	Son İşlem Saati	17:00
IDD	2024-02-04	Fonun Faiz İçeriği	
IDD	2024-02-04	Max. Satış İşlem Miktarı	
IDD	2024-02-04	Çıkış Komisyonu	
IDD	2024-02-04	ISIN Kodu	TRYISMD00167
IDD	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IDD	2024-02-04	Kodu	IDD
IDD	2024-02-04	İşlem Başlangıç Saati	09:00
IDD	2024-02-04	Giriş Komisyonu	
IDD	2024-02-04	Fonun Risk Değeri	4
IDD	2024-02-04	Min. Alış İşlem Miktarı	25.000
IDD	2024-02-04	Fon Alış Valörü	
IDD	2024-02-04	Min. Satış İşlem Miktarı	1
IDD	2024-02-04	Fon Satış Valörü	
IDF	2024-02-04	Çıkış Komisyonu	
IDF	2024-02-04	Min. Alış İşlem Miktarı	1
IDF	2024-02-04	Min. Satış İşlem Miktarı	1
IDF	2024-02-04	Kodu	IDF
IDF	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IDF	2024-02-04	Son İşlem Saati	17:45
IDF	2024-02-04	Giriş Komisyonu	
IDF	2024-02-04	ISIN Kodu	TRYISPO00241
IDF	2024-02-04	Fonun Risk Değeri	
IDF	2024-02-04	Fonun Faiz İçeriği	
IDF	2024-02-04	İşlem Başlangıç Saati	09:00
IDF	2024-02-04	Max. Satış İşlem Miktarı	
IDF	2024-02-04	Fon Satış Valörü	3.0
IDF	2024-02-04	Max. Alış İşlem Miktarı	
IDF	2024-02-04	Fon Alış Valörü	1.0
IDH	2024-02-04	Min. Alış İşlem Miktarı	1
IDH	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IDH	2024-02-04	Kodu	IDH
IDH	2024-02-04	Giriş Komisyonu	
IDH	2024-02-04	İşlem Başlangıç Saati	09:00
IDH	2024-02-04	Fonun Faiz İçeriği	
IDH	2024-02-04	Max. Satış İşlem Miktarı	
IDH	2024-02-04	Fonun Risk Değeri	7
IDH	2024-02-04	Fon Satış Valörü	2.0
IDH	2024-02-04	Son İşlem Saati	17:45
IDH	2024-02-04	ISIN Kodu	TRYISPO00613
IDH	2024-02-04	Fon Alış Valörü	1.0
IDH	2024-02-04	Min. Satış İşlem Miktarı	1
IDH	2024-02-04	Çıkış Komisyonu	
IDH	2024-02-04	Max. Alış İşlem Miktarı	
IDL	2024-02-04	Giriş Komisyonu	
IDL	2024-02-04	Max. Alış İşlem Miktarı	
IDL	2024-02-04	Fon Alış Valörü	0.0
IDL	2024-02-04	Fonun Risk Değeri	1
IDL	2024-02-04	Min. Alış İşlem Miktarı	1
IDL	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IDL	2024-02-04	Fonun Faiz İçeriği	
IDL	2024-02-04	Min. Satış İşlem Miktarı	1
IDL	2024-02-04	Max. Satış İşlem Miktarı	
IDL	2024-02-04	ISIN Kodu	TRYMKFT00190
IDL	2024-02-04	İşlem Başlangıç Saati	09:00
IDL	2024-02-04	Kodu	IDL
IDL	2024-02-04	Fon Satış Valörü	0.0
IDL	2024-02-04	Son İşlem Saati	13:30
IDL	2024-02-04	Çıkış Komisyonu	
IDN	2024-02-04	Fonun Faiz İçeriği	
IDN	2024-02-04	Giriş Komisyonu	
IDN	2024-02-04	Min. Satış İşlem Miktarı	1
IDN	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IDN	2024-02-04	Son İşlem Saati	17:45
IDN	2024-02-04	Fon Alış Valörü	1.0
IDN	2024-02-04	Kodu	IDN
IDN	2024-02-04	Çıkış Komisyonu	
IDN	2024-02-04	Max. Alış İşlem Miktarı	20.000.000
IDN	2024-02-04	Min. Alış İşlem Miktarı	1
IDN	2024-02-04	Fonun Risk Değeri	
IDN	2024-02-04	Fon Satış Valörü	2.0
IDN	2024-02-04	İşlem Başlangıç Saati	09:00
IDN	2024-02-04	Max. Satış İşlem Miktarı	
IDN	2024-02-04	ISIN Kodu	TRYGEPO00468
IDY	2024-02-04	Fon Satış Valörü	2.0
IDY	2024-02-04	Max. Satış İşlem Miktarı	9.999.999.999
IDY	2024-02-04	ISIN Kodu	TRYOYKB00013
IDY	2024-02-04	Min. Satış İşlem Miktarı	1
IDY	2024-02-04	Fonun Faiz İçeriği	
IDY	2024-02-04	Min. Alış İşlem Miktarı	1
IDY	2024-02-04	İşlem Başlangıç Saati	09:00
IDY	2024-02-04	Kodu	IDY
IDY	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IDY	2024-02-04	Çıkış Komisyonu	
IDY	2024-02-04	Max. Alış İşlem Miktarı	9.999.999.999
IDY	2024-02-04	Fonun Risk Değeri	5
IDY	2024-02-04	Fon Alış Valörü	1.0
IDY	2024-02-04	Son İşlem Saati	17:45
IDY	2024-02-04	Giriş Komisyonu	
IEV	2024-02-04	Giriş Komisyonu	
IEV	2024-02-04	ISIN Kodu	TRYISPO00894
IEV	2024-02-04	Fonun Risk Değeri	
IEV	2024-02-04	Fon Satış Valörü	3.0
IEV	2024-02-04	Fon Alış Valörü	1.0
IEV	2024-02-04	Max. Alış İşlem Miktarı	
IEV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IEV	2024-02-04	Max. Satış İşlem Miktarı	
IEV	2024-02-04	Min. Satış İşlem Miktarı	1
IEV	2024-02-04	Min. Alış İşlem Miktarı	1
IEV	2024-02-04	İşlem Başlangıç Saati	09:00
IEV	2024-02-04	Son İşlem Saati	17:45
IEV	2024-02-04	Kodu	IEV
IEV	2024-02-04	Çıkış Komisyonu	
IEV	2024-02-04	Fonun Faiz İçeriği	
IFN	2024-02-04	Kodu	IFN
IFN	2024-02-04	İşlem Başlangıç Saati	09:00
IFN	2024-02-04	Max. Alış İşlem Miktarı	10.000.000
IFN	2024-02-04	Min. Satış İşlem Miktarı	1
IFN	2024-02-04	ISIN Kodu	TRYICBC00042
IFN	2024-02-04	Fon Alış Valörü	1.0
IFN	2024-02-04	Giriş Komisyonu	
IFN	2024-02-04	Fonun Faiz İçeriği	
IFN	2024-02-04	Çıkış Komisyonu	
IFN	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IFN	2024-02-04	Max. Satış İşlem Miktarı	10.000.000
IFN	2024-02-04	Min. Alış İşlem Miktarı	1
IFN	2024-02-04	Fonun Risk Değeri	7
IFN	2024-02-04	Fon Satış Valörü	2.0
IFN	2024-02-04	Son İşlem Saati	17:00
IFV	2024-02-04	Son İşlem Saati	13:00
IFV	2024-02-04	Fon Satış Valörü	0.0
IFV	2024-02-04	İşlem Başlangıç Saati	09:00
IFV	2024-02-04	Max. Satış İşlem Miktarı	
IFV	2024-02-04	Kodu	IFV
IFV	2024-02-04	Max. Alış İşlem Miktarı	
IFV	2024-02-04	Giriş Komisyonu	
IFV	2024-02-04	Fonun Faiz İçeriği	
IFV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IFV	2024-02-04	Çıkış Komisyonu	
IFV	2024-02-04	Fonun Risk Değeri	1
IFV	2024-02-04	Fon Alış Valörü	0.0
IFV	2024-02-04	Min. Satış İşlem Miktarı	1
IFV	2024-02-04	ISIN Kodu	TRYICBC00059
IFV	2024-02-04	Min. Alış İşlem Miktarı	1
IHA	2024-02-04	Fon Alış Valörü	1.0
IHA	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IHA	2024-02-04	Fonun Faiz İçeriği	
IHA	2024-02-04	Son İşlem Saati	17:30
IHA	2024-02-04	Fonun Risk Değeri	6
IHA	2024-02-04	Max. Satış İşlem Miktarı	
IHA	2024-02-04	İşlem Başlangıç Saati	09:00
IHA	2024-02-04	Kodu	IHA
IHA	2024-02-04	ISIN Kodu	TRYALBT00150
IHA	2024-02-04	Min. Alış İşlem Miktarı	1
IHA	2024-02-04	Max. Alış İşlem Miktarı	
IHA	2024-02-04	Min. Satış İşlem Miktarı	1
IHA	2024-02-04	Fon Satış Valörü	2.0
IHA	2024-02-04	Çıkış Komisyonu	
IHA	2024-02-04	Giriş Komisyonu	
IHK	2024-02-04	Fon Alış Valörü	1.0
IHK	2024-02-04	Min. Alış İşlem Miktarı	1
IHK	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IHK	2024-02-04	Son İşlem Saati	17:45
IHK	2024-02-04	Fonun Faiz İçeriği	
IHK	2024-02-04	Min. Satış İşlem Miktarı	1
IHK	2024-02-04	ISIN Kodu	TRYISPO00654
IHK	2024-02-04	Max. Satış İşlem Miktarı	
IHK	2024-02-04	Çıkış Komisyonu	
IHK	2024-02-04	Fonun Risk Değeri	6
IHK	2024-02-04	Kodu	IHK
IHK	2024-02-04	İşlem Başlangıç Saati	09:00
IHK	2024-02-04	Giriş Komisyonu	
IHK	2024-02-04	Max. Alış İşlem Miktarı	
IHK	2024-02-04	Fon Satış Valörü	2.0
IHT	2024-02-04	Fonun Risk Değeri	6
IHT	2024-02-04	ISIN Kodu	TRYISPO00993
IHT	2024-02-04	Son İşlem Saati	17:45
IHT	2024-02-04	Kodu	IHT
IHT	2024-02-04	Max. Satış İşlem Miktarı	
IHT	2024-02-04	İşlem Başlangıç Saati	09:00
IHT	2024-02-04	Min. Satış İşlem Miktarı	1
IHT	2024-02-04	Fon Satış Valörü	2.0
IHT	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IHT	2024-02-04	Fon Alış Valörü	1.0
IHT	2024-02-04	Giriş Komisyonu	
IHT	2024-02-04	Min. Alış İşlem Miktarı	1
IHT	2024-02-04	Çıkış Komisyonu	
IHT	2024-02-04	Fonun Faiz İçeriği	
IHT	2024-02-04	Max. Alış İşlem Miktarı	
IHZ	2024-02-04	Fonun Faiz İçeriği	
IHZ	2024-02-04	Giriş Komisyonu	
IHZ	2024-02-04	Son İşlem Saati	17:30
IHZ	2024-02-04	Min. Alış İşlem Miktarı	1
IHZ	2024-02-04	Kodu	IHZ
IHZ	2024-02-04	ISIN Kodu	TRYALBT00267
IHZ	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IHZ	2024-02-04	İşlem Başlangıç Saati	09:00
IHZ	2024-02-04	Max. Satış İşlem Miktarı	
IHZ	2024-02-04	Fonun Risk Değeri	6
IHZ	2024-02-04	Max. Alış İşlem Miktarı	
IHZ	2024-02-04	Min. Satış İşlem Miktarı	1
IHZ	2024-02-04	Fon Alış Valörü	1.0
IHZ	2024-02-04	Çıkış Komisyonu	
IHZ	2024-02-04	Fon Satış Valörü	2.0
IIE	2024-02-04	Max. Satış İşlem Miktarı	
IIE	2024-02-04	ISIN Kodu	TRYISTP00497
IIE	2024-02-04	Max. Alış İşlem Miktarı	
IIE	2024-02-04	Çıkış Komisyonu	
IIE	2024-02-04	Min. Alış İşlem Miktarı	1
IIE	2024-02-04	İşlem Başlangıç Saati	09:00
IIE	2024-02-04	Son İşlem Saati	13:30
IIE	2024-02-04	Fon Alış Valörü	1.0
IIE	2024-02-04	Fon Satış Valörü	1.0
IIE	2024-02-04	Fonun Faiz İçeriği	
IIE	2024-02-04	Fonun Risk Değeri	
IIE	2024-02-04	Min. Satış İşlem Miktarı	1
IIE	2024-02-04	Kodu	IIE
IIE	2024-02-04	Giriş Komisyonu	
IIE	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IIH	2024-02-04	Max. Satış İşlem Miktarı	
IIH	2024-02-04	Çıkış Komisyonu	
IIH	2024-02-04	ISIN Kodu	TRYISTP00109
IIH	2024-02-04	İşlem Başlangıç Saati	09:00
IIH	2024-02-04	Min. Alış İşlem Miktarı	1
IIH	2024-02-04	Max. Alış İşlem Miktarı	
IIH	2024-02-04	Fonun Faiz İçeriği	
IIH	2024-02-04	Fon Alış Valörü	1.0
IIH	2024-02-04	Giriş Komisyonu	
IIH	2024-02-04	Min. Satış İşlem Miktarı	1
IIH	2024-02-04	Fonun Risk Değeri	
IIH	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IIH	2024-02-04	Son İşlem Saati	13:30
IIH	2024-02-04	Fon Satış Valörü	2.0
IIH	2024-02-04	Kodu	IIH
IJA	2024-02-04	Fonun Faiz İçeriği	
IJA	2024-02-04	Min. Satış İşlem Miktarı	1
IJA	2024-02-04	Min. Alış İşlem Miktarı	1
IJA	2024-02-04	Fonun Risk Değeri	7
IJA	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJA	2024-02-04	ISIN Kodu	TRYGEPO00138
IJA	2024-02-04	Fon Alış Valörü	1.0
IJA	2024-02-04	Max. Alış İşlem Miktarı	5.000.000
IJA	2024-02-04	İşlem Başlangıç Saati	09:00
IJA	2024-02-04	Çıkış Komisyonu	
IJA	2024-02-04	Son İşlem Saati	17:45
IJA	2024-02-04	Giriş Komisyonu	
IJA	2024-02-04	Max. Satış İşlem Miktarı	
IJA	2024-02-04	Kodu	IJA
IJA	2024-02-04	Fon Satış Valörü	2.0
IJB	2024-02-04	Giriş Komisyonu	
IJB	2024-02-04	Fonun Faiz İçeriği	
IJB	2024-02-04	İşlem Başlangıç Saati	09:00
IJB	2024-02-04	Son İşlem Saati	17:45
IJB	2024-02-04	Max. Satış İşlem Miktarı	
IJB	2024-02-04	Fon Alış Valörü	1.0
IJB	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJB	2024-02-04	Kodu	IJB
IJB	2024-02-04	Min. Alış İşlem Miktarı	1
IJB	2024-02-04	Fon Satış Valörü	3.0
IJB	2024-02-04	Max. Alış İşlem Miktarı	
IJB	2024-02-04	ISIN Kodu	TRYISPO00688
IJB	2024-02-04	Çıkış Komisyonu	
IJB	2024-02-04	Fonun Risk Değeri	6
IJB	2024-02-04	Min. Satış İşlem Miktarı	1
IJC	2024-02-04	ISIN Kodu	TRYISPO00704
IJC	2024-02-04	Kodu	IJC
IJC	2024-02-04	Giriş Komisyonu	
IJC	2024-02-04	Son İşlem Saati	17:45
IJC	2024-02-04	Fon Alış Valörü	1.0
IJC	2024-02-04	İşlem Başlangıç Saati	09:00
IJC	2024-02-04	Max. Satış İşlem Miktarı	
IJC	2024-02-04	Fon Satış Valörü	3.0
IJC	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJC	2024-02-04	Max. Alış İşlem Miktarı	
IJC	2024-02-04	Fonun Risk Değeri	7
IJC	2024-02-04	Çıkış Komisyonu	
IJC	2024-02-04	Min. Alış İşlem Miktarı	1
IJC	2024-02-04	Min. Satış İşlem Miktarı	1
IJC	2024-02-04	Fonun Faiz İçeriği	
IJH	2024-02-04	Son İşlem Saati	17:00
IJH	2024-02-04	Max. Alış İşlem Miktarı	10.000.000
IJH	2024-02-04	Giriş Komisyonu	
IJH	2024-02-04	İşlem Başlangıç Saati	09:00
IJH	2024-02-04	Kodu	IJH
IJH	2024-02-04	Fon Satış Valörü	2.0
IJH	2024-02-04	Max. Satış İşlem Miktarı	10.000.000
IJH	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJH	2024-02-04	Fonun Faiz İçeriği	
IJH	2024-02-04	Min. Satış İşlem Miktarı	1
IJH	2024-02-04	Fonun Risk Değeri	3
IJH	2024-02-04	ISIN Kodu	TRYICBC00034
IJH	2024-02-04	Fon Alış Valörü	1.0
IJH	2024-02-04	Çıkış Komisyonu	
IJH	2024-02-04	Min. Alış İşlem Miktarı	1
IJP	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJP	2024-02-04	Çıkış Komisyonu	
IJP	2024-02-04	Max. Satış İşlem Miktarı	
IJP	2024-02-04	Max. Alış İşlem Miktarı	
IJP	2024-02-04	Fon Satış Valörü	3.0
IJP	2024-02-04	Min. Alış İşlem Miktarı	1
IJP	2024-02-04	İşlem Başlangıç Saati	09:00
IJP	2024-02-04	Son İşlem Saati	17:45
IJP	2024-02-04	Fonun Risk Değeri	6
IJP	2024-02-04	Giriş Komisyonu	
IJP	2024-02-04	Fonun Faiz İçeriği	
IJP	2024-02-04	ISIN Kodu	TRYISPO00670
IJP	2024-02-04	Fon Alış Valörü	1.0
IJP	2024-02-04	Min. Satış İşlem Miktarı	1
IJP	2024-02-04	Kodu	IJP
IJT	2024-02-04	Fon Satış Valörü	3.0
IJT	2024-02-04	Min. Alış İşlem Miktarı	1
IJT	2024-02-04	Fonun Faiz İçeriği	
IJT	2024-02-04	Max. Alış İşlem Miktarı	
IJT	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJT	2024-02-04	Min. Satış İşlem Miktarı	1
IJT	2024-02-04	Giriş Komisyonu	
IJT	2024-02-04	Fon Alış Valörü	1.0
IJT	2024-02-04	ISIN Kodu	TRYISPO00712
IJT	2024-02-04	Çıkış Komisyonu	
IJT	2024-02-04	Kodu	IJT
IJT	2024-02-04	İşlem Başlangıç Saati	09:00
IJT	2024-02-04	Fonun Risk Değeri	6
IJT	2024-02-04	Max. Satış İşlem Miktarı	
IJT	2024-02-04	Son İşlem Saati	17:45
IJV	2024-02-04	Fon Alış Valörü	0.0
IJV	2024-02-04	Max. Satış İşlem Miktarı	
IJV	2024-02-04	İşlem Başlangıç Saati	09:00
IJV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJV	2024-02-04	ISIN Kodu	TRYISTP00232
IJV	2024-02-04	Kodu	IJV
IJV	2024-02-04	Min. Satış İşlem Miktarı	1
IJV	2024-02-04	Fon Satış Valörü	0.0
IJV	2024-02-04	Fonun Faiz İçeriği	
IJV	2024-02-04	Fonun Risk Değeri	
IJV	2024-02-04	Min. Alış İşlem Miktarı	1
IJV	2024-02-04	Max. Alış İşlem Miktarı	
IJV	2024-02-04	Son İşlem Saati	13:30
IJV	2024-02-04	Çıkış Komisyonu	
IJV	2024-02-04	Giriş Komisyonu	
IJZ	2024-02-04	Kodu	IJZ
IJZ	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IJZ	2024-02-04	Son İşlem Saati	17:45
IJZ	2024-02-04	Max. Alış İşlem Miktarı	
IJZ	2024-02-04	ISIN Kodu	TRYISPO00696
IJZ	2024-02-04	Min. Satış İşlem Miktarı	1
IJZ	2024-02-04	Max. Satış İşlem Miktarı	
IJZ	2024-02-04	Fon Alış Valörü	1.0
IJZ	2024-02-04	Fonun Faiz İçeriği	
IJZ	2024-02-04	Fonun Risk Değeri	6
IJZ	2024-02-04	Min. Alış İşlem Miktarı	1
IJZ	2024-02-04	Çıkış Komisyonu	
IJZ	2024-02-04	İşlem Başlangıç Saati	09:00
IJZ	2024-02-04	Fon Satış Valörü	3.0
IJZ	2024-02-04	Giriş Komisyonu	
IKL	2024-02-04	Fonun Faiz İçeriği	
IKL	2024-02-04	ISIN Kodu	TRYISPO00639
IKL	2024-02-04	Min. Alış İşlem Miktarı	1
IKL	2024-02-04	Çıkış Komisyonu	
IKL	2024-02-04	Fonun Risk Değeri	6
IKL	2024-02-04	Fon Alış Valörü	1.0
IKL	2024-02-04	Max. Alış İşlem Miktarı	
IKL	2024-02-04	Fon Satış Valörü	3.0
IKL	2024-02-04	İşlem Başlangıç Saati	09:00
IKL	2024-02-04	Son İşlem Saati	17:45
IKL	2024-02-04	Kodu	IKL
IKL	2024-02-04	Max. Satış İşlem Miktarı	
IKL	2024-02-04	Min. Satış İşlem Miktarı	1
IKL	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IKL	2024-02-04	Giriş Komisyonu	
IKP	2024-02-04	Fonun Risk Değeri	6
IKP	2024-02-04	Min. Satış İşlem Miktarı	1
IKP	2024-02-04	Max. Alış İşlem Miktarı	
IKP	2024-02-04	Fon Satış Valörü	3.0
IKP	2024-02-04	Son İşlem Saati	17:45
IKP	2024-02-04	Min. Alış İşlem Miktarı	1
IKP	2024-02-04	Max. Satış İşlem Miktarı	
IKP	2024-02-04	Kodu	IKP
IKP	2024-02-04	Çıkış Komisyonu	
IKP	2024-02-04	Fon Alış Valörü	1.0
IKP	2024-02-04	İşlem Başlangıç Saati	09:00
IKP	2024-02-04	Giriş Komisyonu	
IKP	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IKP	2024-02-04	ISIN Kodu	TRYISPO00662
IKP	2024-02-04	Fonun Faiz İçeriği	
ILZ	2024-02-04	Çıkış Komisyonu	
ILZ	2024-02-04	Max. Satış İşlem Miktarı	
ILZ	2024-02-04	Fonun Risk Değeri	2
ILZ	2024-02-04	Max. Alış İşlem Miktarı	
ILZ	2024-02-04	Fonun Faiz İçeriği	
ILZ	2024-02-04	Giriş Komisyonu	
ILZ	2024-02-04	Min. Satış İşlem Miktarı	1
ILZ	2024-02-04	Min. Alış İşlem Miktarı	1
ILZ	2024-02-04	Kodu	ILZ
ILZ	2024-02-04	Fon Alış Valörü	1.0
ILZ	2024-02-04	ISIN Kodu	TRYISPO00647
ILZ	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
ILZ	2024-02-04	Fon Satış Valörü	3.0
ILZ	2024-02-04	Son İşlem Saati	17:45
ILZ	2024-02-04	İşlem Başlangıç Saati	09:00
IMF	2024-02-04	Çıkış Komisyonu	
IMF	2024-02-04	Fon Satış Valörü	
IMF	2024-02-04	Kodu	IMF
IMF	2024-02-04	Fon Alış Valörü	
IMF	2024-02-04	Min. Satış İşlem Miktarı	5.000
IMF	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IMF	2024-02-04	Max. Satış İşlem Miktarı	
IMF	2024-02-04	Max. Alış İşlem Miktarı	
IMF	2024-02-04	Fonun Faiz İçeriği	
IMF	2024-02-04	Giriş Komisyonu	
IMF	2024-02-04	Min. Alış İşlem Miktarı	1.000.000
IMF	2024-02-04	Fonun Risk Değeri	
IMF	2024-02-04	ISIN Kodu	TRYISTP00117
IMF	2024-02-04	Son İşlem Saati	13:30
IMF	2024-02-04	İşlem Başlangıç Saati	09:00
IOG	2024-02-04	Son İşlem Saati	17:45
IOG	2024-02-04	Fonun Faiz İçeriği	
IOG	2024-02-04	ISIN Kodu	TRYISPO00597
IOG	2024-02-04	Fonun Risk Değeri	7
IOG	2024-02-04	Giriş Komisyonu	
IOG	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IOG	2024-02-04	Fon Alış Valörü	1.0
IOG	2024-02-04	Çıkış Komisyonu	
IOG	2024-02-04	Max. Alış İşlem Miktarı	
IOG	2024-02-04	Min. Alış İşlem Miktarı	1
IOG	2024-02-04	Min. Satış İşlem Miktarı	1
IOG	2024-02-04	İşlem Başlangıç Saati	09:00
IOG	2024-02-04	Kodu	IOG
IOG	2024-02-04	Fon Satış Valörü	3.0
IOG	2024-02-04	Max. Satış İşlem Miktarı	
IPB	2024-02-04	Max. Alış İşlem Miktarı	
IPB	2024-02-04	Fonun Faiz İçeriği	
IPB	2024-02-04	ISIN Kodu	TRYISMD00159
IPB	2024-02-04	Kodu	IPB
IPB	2024-02-04	İşlem Başlangıç Saati	09:00
IPB	2024-02-04	Fon Satış Valörü	2.0
IPB	2024-02-04	Son İşlem Saati	13:30
IPB	2024-02-04	Çıkış Komisyonu	
IPB	2024-02-04	Fon Alış Valörü	1.0
IPB	2024-02-04	Fonun Risk Değeri	
IPB	2024-02-04	Max. Satış İşlem Miktarı	
IPB	2024-02-04	Min. Satış İşlem Miktarı	1
IPB	2024-02-04	Min. Alış İşlem Miktarı	1
IPB	2024-02-04	Giriş Komisyonu	
IPB	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IPG	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IPG	2024-02-04	Fon Satış Valörü	3.0
IPG	2024-02-04	Fonun Faiz İçeriği	
IPG	2024-02-04	ISIN Kodu	TRYISPO00076
IPG	2024-02-04	İşlem Başlangıç Saati	09:00
IPG	2024-02-04	Fon Alış Valörü	1.0
IPG	2024-02-04	Fonun Risk Değeri	5
IPG	2024-02-04	Çıkış Komisyonu	
IPG	2024-02-04	Giriş Komisyonu	
IPG	2024-02-04	Son İşlem Saati	17:45
IPG	2024-02-04	Max. Satış İşlem Miktarı	
IPG	2024-02-04	Min. Alış İşlem Miktarı	1
IPG	2024-02-04	Min. Satış İşlem Miktarı	1
IPG	2024-02-04	Kodu	IPG
IPG	2024-02-04	Max. Alış İşlem Miktarı	
IPJ	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
IPJ	2024-02-04	Fonun Faiz İçeriği	
IPJ	2024-02-04	ISIN Kodu	TRYISPO00191
IPJ	2024-02-04	Min. Alış İşlem Miktarı	1
IPJ	2024-02-04	Giriş Komisyonu	
IPJ	2024-02-04	Son İşlem Saati	17:45
IPJ	2024-02-04	Fonun Risk Değeri	6
IPJ	2024-02-04	İşlem Başlangıç Saati	09:00
IPJ	2024-02-04	Max. Alış İşlem Miktarı	
IPJ	2024-02-04	Çıkış Komisyonu	
IPJ	2024-02-04	Fon Alış Valörü	1.0
IPJ	2024-02-04	Fon Satış Valörü	3.0
IPJ	2024-02-04	Max. Satış İşlem Miktarı	
IPJ	2024-02-04	Kodu	IPJ
IPJ	2024-02-04	Min. Satış İşlem Miktarı	1
IPV	2024-02-04	Min. Satış İşlem Miktarı	1
IPV	2024-02-04	Fonun Risk Değeri	
IPV	2024-02-04	Giriş Komisyonu	
IPV	2024-02-04	Min. Alış İşlem Miktarı	1
IPV	2024-02-04	Max. Alış İşlem Miktarı	
IPV	2024-02-04	Çıkış Komisyonu	
IPV	2024-02-04	Son İşlem Saati	17:45
IPV	2024-02-04	Fon Satış Valörü	3.0
IPV	2024-02-04	İşlem Başlangıç Saati	09:00
IPV	2024-02-04	ISIN Kodu	TRYISPO00100
