Fon Kodu	Tarih	Attribute	Value
AES	2024-02-04	Fonun Faiz İçeriği	
AES	2024-02-04	Max. Alış İşlem Miktarı	50.000.000.000
AES	2024-02-04	Fonun Risk Değeri	7
AES	2024-02-04	Kodu	AES
AES	2024-02-04	ISIN Kodu	TRYAKBK00441
AES	2024-02-04	Son İşlem Saati	17:45
AES	2024-02-04	İşlem Başlangıç Saati	09:00
AES	2024-02-04	Giriş Komisyonu	
AES	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AES	2024-02-04	Fon Alış Valörü	1.0
AES	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AES	2024-02-04	Min. Alış İşlem Miktarı	1
AES	2024-02-04	Min. Satış İşlem Miktarı	1
AEV	2024-02-04	Min. Alış İşlem Miktarı	1
AEV	2024-02-04	Fon Alış Valörü	1.0
AEV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AEV	2024-02-04	Giriş Komisyonu	
AEV	2024-02-04	Fon Satış Valörü	2.0
AEV	2024-02-04	Min. Satış İşlem Miktarı	1
AEV	2024-02-04	Fonun Risk Değeri	6
AEV	2024-02-04	Max. Alış İşlem Miktarı	
AEV	2024-02-04	Son İşlem Saati	17:30
AEV	2024-02-04	Fonun Faiz İçeriği	
AEV	2024-02-04	ISIN Kodu	TRYALBT00127
AEV	2024-02-04	Kodu	AEV
AEV	2024-02-04	Max. Satış İşlem Miktarı	
AEV	2024-02-04	Çıkış Komisyonu	
AEV	2024-02-04	İşlem Başlangıç Saati	09:00
AFA	2024-02-04	Giriş Komisyonu	
AFA	2024-02-04	ISIN Kodu	TRYAKBK00458
AFA	2024-02-04	İşlem Başlangıç Saati	09:00
AFA	2024-02-04	Fon Satış Valörü	3.0
AFA	2024-02-04	Fon Alış Valörü	1.0
AFA	2024-02-04	Fonun Risk Değeri	6
AFA	2024-02-04	Fonun Faiz İçeriği	
AFA	2024-02-04	Min. Satış İşlem Miktarı	1
AFA	2024-02-04	Son İşlem Saati	17:45
AFA	2024-02-04	Min. Alış İşlem Miktarı	1
AFA	2024-02-04	Çıkış Komisyonu	
AFA	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AFA	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AFA	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AFA	2024-02-04	Kodu	AFA
AFO	2024-02-04	Fon Satış Valörü	1.0
AFO	2024-02-04	Fon Alış Valörü	1.0
AFO	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AFO	2024-02-04	Fonun Risk Değeri	6
AFO	2024-02-04	Kodu	AFO
AFO	2024-02-04	Son İşlem Saati	17:45
AFO	2024-02-04	İşlem Başlangıç Saati	09:00
AFO	2024-02-04	Fonun Faiz İçeriği	
AFO	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AFO	2024-02-04	Çıkış Komisyonu	
AFO	2024-02-04	Giriş Komisyonu	
AFO	2024-02-04	Min. Satış İşlem Miktarı	1
AFO	2024-02-04	Min. Alış İşlem Miktarı	1
AFO	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AFO	2024-02-04	ISIN Kodu	TRYAKBK00052
AFS	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AFS	2024-02-04	Fonun Faiz İçeriği	
AFS	2024-02-04	Çıkış Komisyonu	
AFS	2024-02-04	İşlem Başlangıç Saati	09:00
AFS	2024-02-04	Son İşlem Saati	17:45
AFS	2024-02-04	Min. Alış İşlem Miktarı	1
AFS	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AFS	2024-02-04	ISIN Kodu	TRYAKBK00482
AFS	2024-02-04	Fon Alış Valörü	1.0
AFS	2024-02-04	Kodu	AFS
AFS	2024-02-04	Fon Satış Valörü	3.0
AFS	2024-02-04	Min. Satış İşlem Miktarı	1
AFS	2024-02-04	Giriş Komisyonu	
AFS	2024-02-04	Fonun Risk Değeri	
AFS	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
